,date,state,positive
945,2020-04-24,HR,19
946,2020-04-24,HD,447
947,2020-04-24,IL,148
948,2020-04-24,IS,207
949,2020-04-24,IF,218
950,2020-04-24,MM,68
951,2020-04-24,MH,49
952,2020-04-24,MS,335
953,2020-04-24,NT,415
954,2020-04-24,OT,23
955,2020-04-24,PH,55
956,2020-04-24,SM,53
957,2020-04-24,SJ,28
958,2020-04-24,SB,228
959,2020-04-24,SV,2477
960,2020-04-24,TR,96
961,2020-04-24,TM,408
962,2020-04-24,TL,37
963,2020-04-24,VS,69
964,2020-04-24,VL,23
965,2020-04-24,VN,207
966,2020-04-24,B,1133
967,2020-04-24,-,11
